algorithm,split,runs,episode_count,no_threat_event_count,potential_event_count,severe_event_count,avg_return_mean,avg_return_ci95,median_return_mean,median_return_ci95,severe_miss_rate_mean,severe_miss_rate_ci95,false_warning_rate_mean,false_warning_rate_ci95,avg_alert_changes_mean,avg_alert_changes_ci95,avg_invalid_actions_mean,avg_invalid_actions_ci95,avg_warning_step_on_severe_mean,avg_warning_step_on_severe_ci95,avg_watch_step_on_potential_mean,avg_watch_step_on_potential_ci95,safety_score_mean,safety_score_ci95
ppo_lstm_pure,validation,3,64,35,23,6,25.523958333333336,0.21094477868100403,13.800000000000002,2.4619049752161592e-15,0.0,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,4.0,0.0,4.536231884057972,0.056811594202898226,25.523958333333336,0.21094477868100403
ppo_lstm_pure,test,3,70,37,25,8,25.342857142857145,0.7065493613329503,13.800000000000002,2.4619049752161592e-15,0.0,0.0,0.0,0.0,1.0095238095238095,0.04068305680637967,0.0,0.0,3.875,0.0,3.866666666666667,0.3457115046457732,25.342857142857145,0.7065493613329503
