update,env_steps,policy_loss,value_loss,entropy,clip_fraction,recent_avg_return,recent_severe_miss_rate,recent_false_warning_rate,recent_avg_warning_step_on_severe,recent_avg_watch_step_on_potential,recent_safety_score,validation_avg_return,validation_severe_miss_rate,validation_false_warning_rate,validation_avg_warning_step_on_severe,validation_avg_watch_step_on_potential,validation_safety_score,device,artifact_prefix,curriculum_stage,normalize_observations
1,3141,0.010197639552643523,813.2421379089355,0.3777171578258276,0.17921741378086153,22.745001175701617,0.0,0.03636363636363636,4.466666666666667,,20.9268193575198,,,,,,,cuda,ppo_lstm_seed99,binary_easy,1
2,6282,0.01725086203077808,495.2546434402466,0.288253219332546,0.1081214226942393,29.04000116020441,0.0,0.0,4.513513513513513,,29.04000116020441,,,,,,,cuda,ppo_lstm_seed99,binary_easy,1
3,9423,-0.00040534949971515744,293.57197856903076,0.17813511565327644,0.05121776714804582,37.47500116705894,0.0,0.0,4.682926829268292,,37.47500116705894,,,,,,,cuda,ppo_lstm_seed99,binary_easy,1
4,12564,-0.0014864506829326274,314.3775453567505,0.16308495588600636,0.02431053110922221,41.550001377165316,0.0,0.0,4.478260869565218,,41.550001377165316,,,,,,,cuda,ppo_lstm_seed99,binary_easy,1
5,15705,0.00045495302765630186,290.5990238189697,0.171616000123322,0.024623926874483004,33.69000093609095,0.0,0.0,4.615384615384615,,33.69000093609095,,,,,,,cuda,ppo_lstm_seed99,binary_easy,1
6,18846,0.0025424932246096432,273.4566864967346,0.1408507004380226,0.005282951533445157,37.34000116348267,0.0,0.0,4.619047619047619,,37.34000116348267,,,,,,,cuda,ppo_lstm_seed99,binary_easy,1
7,21987,0.0018342527910135686,255.290265083313,0.13895065430551767,0.004118911339901388,32.56500096470118,0.0,0.0,4.40625,,32.56500096470118,,,,,,,cuda,ppo_lstm_seed99,binary_easy,1
8,25128,-0.0023141689889598638,252.9167013168335,0.12698474223725498,0.004342765194451204,38.250001153945924,0.0,0.0,4.476190476190476,,38.250001153945924,,,,,,,cuda,ppo_lstm_seed99,binary_easy,1
9,28269,0.00017353005387121812,236.21127653121948,0.11165934056043625,0.004432306799571961,40.17000126838684,0.0,0.0,4.565217391304348,,40.17000126838684,,,,,,,cuda,ppo_lstm_seed99,binary_easy,1
10,31410,-0.004069819871801883,214.6080503463745,0.10633638617582619,0.005327722312358674,36.395001039505004,0.0,0.0,4.6923076923076925,,36.395001039505004,,,,,,,cuda,ppo_lstm_seed99,binary_easy,1
11,34551,-0.00492176873376593,206.23283863067627,0.08943717100191861,0.0027757880961871706,38.125001220703126,0.0,0.0,4.65,,38.125001220703126,,,,,,,cuda,ppo_lstm_seed99,binary_easy,1
12,37692,0.0016754866956034675,221.07536697387695,0.08257462631445378,0.008461676552542485,54.1300018119812,0.0,0.0,4.4,,54.1300018119812,,,,,,,cuda,ppo_lstm_seed99,binary_easy,1
13,40833,0.0192439480451867,218.05110216140747,0.0855580372735858,0.012356734085187782,35.315001029968265,0.0,0.0,4.702702702702703,,35.315001029968265,,,,,,,cuda,ppo_lstm_seed99,binary_easy,1
14,43974,4.923285450786352e-05,190.7454285621643,0.0821174280717969,0.005059097631601617,37.710001153945925,0.0,0.0,4.7894736842105265,,37.710001153945925,,,,,,,cuda,ppo_lstm_seed99,binary_easy,1
15,47115,-0.00331234626355581,201.85772800445557,0.0808883118443191,0.0065813039909699,43.85500140190125,0.0,0.0,4.617021276595745,,43.85500140190125,,,,,,,cuda,ppo_lstm_seed99,binary_easy,1
16,50256,-0.00012653222074732184,198.6781358718872,0.06640461494680494,0.004700931400293484,40.53000122070313,0.0,0.0,4.571428571428571,,40.53000122070313,18.643750000000004,0.0,0.0,4.0,5.695652173913044,18.643750000000004,cuda,ppo_lstm_seed99,binary_easy,1
17,53397,0.027126474989927374,259.81729888916016,0.10950787761248648,0.10812142198847141,27.28500055193901,0.0,0.0,4.7,4.87719298245614,27.28500055193901,,,,,,,cuda,ppo_lstm_seed99,potential_added,1
18,56538,0.015583222018904053,312.4264998435974,0.13629791256971657,0.03845809609629214,29.31500072479248,0.0,0.0,4.578947368421052,5.28,29.31500072479248,,,,,,,cuda,ppo_lstm_seed99,potential_added,1
19,59679,-0.004644508022465743,285.0423278808594,0.16915223677642643,0.05851540353614837,23.280000460147857,0.0,0.0,4.944444444444445,5.679245283018868,23.280000460147857,,,,,,,cuda,ppo_lstm_seed99,potential_added,1
